"","100AR","100BA","100BR","101AA","101AR","102AA","102AR","102BA","102BR","103AA","103AR","103BA","103BR","104AA","104AR","104BA","104BR","105AA","105AR","105BR","106AA","106AR","107AA","107AR","108AA","108AR","108BA","55AR","55BA","55BR","56AA","56AR","56BA","56BR","57AA","57AR","58AA","58AR","59AR","60AA","60AR","60BA","60BR","61AA","61AR","61BA","61BR","62AR","62BA","62BR","63AA","63AR","63BA","63BR","64AA","64AR","64BA","64BR","65AA","65AR","65BA","65BR","66AR","66BA","66BR","67AA","67AR","67BA","67BR","68AA","68AR","68BA","68BR","69AA","69AR","69BA","69BR","70AA","70AR","70BA","70BR","71AA","71AR","71BA","71BR","72AA","72AR","72BA","72BR","91AA","91AR","91BA","91BR","92AA","92AR","92BA","92BR","93AA","93AR","94AR","94BA","94BR","95AR","95BA","95BR","96AA","96AR","96BA","96BR","97AA","97AR","99AA","99AR","99BA","99BR"
"Sequence_66",0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,5,1
"Sequence_67",0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
"Sequence_68",0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,1,0,1,0,0
"Sequence_69",0,0,2,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,4,0,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,1
"Sequence_7",1,1,0,0,2,1,0,3,0,1,0,0,0,2,2,4,0,3,2,0,2,3,4,1,6,2,0,2,2,0,2,1,2,0,4,0,1,0,0,4,0,1,0,2,1,1,0,5,1,0,2,1,1,0,1,1,3,0,1,0,1,0,0,0,0,0,1,1,0,2,4,4,0,5,2,1,0,2,1,1,0,5,3,2,0,4,0,1,0,2,3,0,0,0,1,0,0,0,3,3,0,0,3,1,0,1,1,0,0,1,1,3,0,1,0
"Sequence_71",39,14,1,9,38,8,12,8,13,6,29,11,2,13,51,13,10,12,35,6,19,56,10,46,24,28,20,19,25,13,17,44,28,3,24,31,10,19,10,13,47,18,11,13,34,18,7,48,15,8,7,31,18,14,8,38,23,5,11,3,20,5,9,21,11,18,35,9,9,17,59,20,6,26,34,24,6,11,20,14,14,24,75,10,1,24,15,29,3,19,38,7,3,11,33,22,6,9,30,15,15,6,33,12,4,6,40,20,3,14,10,9,9,16,9
"Sequence_72",4,5,0,15,6,17,2,2,4,13,2,5,0,27,7,5,1,8,13,0,14,7,18,4,13,2,4,1,7,1,14,5,8,0,5,4,13,3,5,14,3,8,0,12,3,4,1,5,5,3,15,7,2,4,12,2,4,0,18,0,4,1,1,3,1,14,4,3,0,13,4,7,0,14,1,1,0,13,2,4,1,13,8,5,1,7,0,11,0,7,6,2,1,16,2,4,0,15,4,5,8,2,11,3,2,19,2,10,0,16,4,16,6,3,0
"Sequence_73",4,1,16,1,4,1,11,1,0,0,1,0,3,0,11,0,29,3,8,11,3,5,2,1,7,5,2,8,0,9,3,2,1,3,0,6,1,9,25,2,4,0,4,4,6,3,33,7,2,3,0,4,2,18,1,6,2,24,3,2,3,17,2,1,6,1,10,0,4,1,7,0,1,3,5,2,5,0,2,0,12,1,9,1,1,2,2,0,1,1,14,0,6,1,3,0,2,2,13,3,1,14,4,2,1,2,6,0,5,0,6,0,1,1,10
"Sequence_74",0,0,0,2,0,0,0,0,4,0,0,1,7,1,1,0,5,1,5,2,0,0,1,1,1,0,1,0,0,1,1,0,2,3,1,0,2,1,0,0,3,2,10,0,3,0,2,1,0,15,0,2,1,0,0,2,0,1,0,1,0,13,1,0,3,0,3,0,1,0,5,0,0,1,3,0,1,0,2,0,0,0,5,0,0,0,1,0,0,1,1,0,3,1,7,0,0,0,2,1,1,1,1,0,2,0,1,1,3,0,1,0,0,1,3
"Sequence_75",1,1,0,2,1,1,2,0,1,0,0,2,0,2,1,4,0,2,1,1,1,4,1,1,0,2,4,1,0,0,0,1,5,0,3,5,2,1,1,2,2,2,1,2,1,1,1,1,1,0,0,0,2,0,1,8,3,1,4,1,3,2,0,1,3,1,0,1,2,0,2,1,1,1,1,0,1,0,0,2,0,2,1,0,0,5,3,3,0,0,2,2,0,3,0,5,0,0,3,1,2,2,0,1,1,1,0,0,0,0,1,2,0,3,1
