"","ID_Matrix","Dose","Microbiome","Subtrate","Fraction","Rep","Depth"
"72AA","72AA","Low_Dose","SynCom","Agar","Agar","Rep1",33547
"72AR","72AR","Low_Dose","SynCom","Agar","Root","Rep1",39915
"72BA","72BA","Low_Dose","SynCom","Agar","Agar","Rep2",38134
"72BR","72BR","Low_Dose","SynCom","Agar","Root","Rep2",39185
"91AA","91AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",20387
"91AR","91AR","No_Glyphosate","SynCom","Agar","Root","Rep1",38515
"91BA","91BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",21192
"91BR","91BR","No_Glyphosate","SynCom","Agar","Root","Rep2",12353
"92AA","92AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",49563
"92AR","92AR","No_Glyphosate","SynCom","Agar","Root","Rep1",62418
"92BA","92BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",30493
"92BR","92BR","No_Glyphosate","SynCom","Agar","Root","Rep2",18142
"93AA","93AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",31399
"93AR","93AR","No_Glyphosate","SynCom","Agar","Root","Rep1",25801
"94AR","94AR","No_Glyphosate","SynCom","Agar","Root","Rep1",22892
"94BA","94BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",38261
"94BR","94BR","No_Glyphosate","SynCom","Agar","Root","Rep2",24780
"95AR","95AR","No_Glyphosate","SynCom","Agar","Root","Rep1",10570
"95BA","95BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",40827
"95BR","95BR","No_Glyphosate","SynCom","Agar","Root","Rep2",45289
"96AA","96AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",51172
"96AR","96AR","No_Glyphosate","SynCom","Agar","Root","Rep1",33867
"96BA","96BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",37378
"96BR","96BR","No_Glyphosate","SynCom","Agar","Root","Rep2",31044
"97AA","97AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",23325
"97AR","97AR","No_Glyphosate","SynCom","Agar","Root","Rep1",40282
"99AA","99AA","No_Glyphosate","SynCom","Agar","Agar","Rep1",29215
"99AR","99AR","No_Glyphosate","SynCom","Agar","Root","Rep1",14719
"99BA","99BA","No_Glyphosate","SynCom","Agar","Agar","Rep2",40513
"99BR","99BR","No_Glyphosate","SynCom","Agar","Root","Rep2",82925
